lote,orden,palabra_id,kichwa,espanol,categoria,tipo_visual,prompt,descripcion_candidata,estado
1,11,456,inku,carnero,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “inku”, que en español significa “carnero”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de carnero, correspondiente a la acepción Kichwa inku.",preparada
1,12,2379,sillu,casco,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “sillu”, que en español significa “casco”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de casco, correspondiente a la acepción Kichwa sillu.",preparada
1,13,2623,kuchi,chancho,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “kuchi”, que en español significa “chancho”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de chancho, correspondiente a la acepción Kichwa kuchi.",preparada
1,14,269,chita,chivo,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “chita”, que en español significa “chivo”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de chivo, correspondiente a la acepción Kichwa chita.",preparada
1,15,292,chukllu,choco,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “chukllu”, que en español significa “choco”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de choco, correspondiente a la acepción Kichwa chukllu.",preparada
1,16,1356,shiktikuy,ciempiés,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “shiktikuy”, que en español significa “ciempiés”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de ciempiés, correspondiente a la acepción Kichwa shiktikuy.",preparada
1,17,1385,shiway,ciempiés,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “shiway”, que en español significa “ciempiés”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de ciempiés, correspondiente a la acepción Kichwa shiway.",preparada
1,18,1454,tatis,ciempiés,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “tatis”, que en español significa “ciempiés”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de ciempiés, correspondiente a la acepción Kichwa tatis.",preparada
1,19,1899,zullu,cigarra,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “zullu”, que en español significa “cigarra”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de cigarra, correspondiente a la acepción Kichwa zullu.",preparada
1,20,2471,chukuri,comadreja,Animales,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “chukuri”, que en español significa “comadreja”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de comadreja, correspondiente a la acepción Kichwa chukuri.",preparada
1,21,10,achira,achera,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “achira”, que en español significa “achera”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de achera, correspondiente a la acepción Kichwa achira.",preparada
1,22,11,achukcha,achogcha,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “achukcha”, que en español significa “achogcha”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de achogcha, correspondiente a la acepción Kichwa achukcha.",preparada
1,23,12,achupalla,achupalla,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “achupalla”, que en español significa “achupalla”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de achupalla, correspondiente a la acepción Kichwa achupalla.",preparada
1,24,850,marku,altamisa,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “marku”, que en español significa “altamisa”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de altamisa, correspondiente a la acepción Kichwa marku.",preparada
1,25,1417,taklla,arado,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “taklla”, que en español significa “arado”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de arado, correspondiente a la acepción Kichwa taklla.",preparada
1,26,493,iwilan,arbusto,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “iwilan”, que en español significa “arbusto”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de arbusto, correspondiente a la acepción Kichwa iwilan.",preparada
1,27,2177,alwis,arvejas,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “alwis”, que en español significa “arvejas”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de arvejas, correspondiente a la acepción Kichwa alwis.",preparada
1,28,2236,amankay,azucena,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “amankay”, que en español significa “azucena”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de azucena, correspondiente a la acepción Kichwa amankay.",preparada
1,29,2237,llakllana,azuela,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “llakllana”, que en español significa “azuela”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de azuela, correspondiente a la acepción Kichwa llakllana.",preparada
1,30,506,kalatis,bejuco,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “kalatis”, que en español significa “bejuco”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de bejuco, correspondiente a la acepción Kichwa kalatis.",preparada
1,31,956,nanampi,bejuco,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “nanampi”, que en español significa “bejuco”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de bejuco, correspondiente a la acepción Kichwa nanampi.",preparada
1,32,1135,pukshi,cal,Plantas y agricultura,ser_vivo,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “pukshi”, que en español significa “cal”. Muestra claramente el animal o la planta como elemento principal. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de cal, correspondiente a la acepción Kichwa pukshi.",preparada
1,33,1918,wiksa,abdomen,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “wiksa”, que en español significa “abdomen”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de abdomen, correspondiente a la acepción Kichwa wiksa.",preparada
1,34,1321,sulluy,aborto,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “sulluy”, que en español significa “aborto”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de aborto, correspondiente a la acepción Kichwa sulluy.",preparada
1,35,1631,uputinti,alacrán,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “uputinti”, que en español significa “alacrán”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de alacrán, correspondiente a la acepción Kichwa uputinti.",preparada
1,36,2046,samay,aliento,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “samay”, que en español significa “aliento”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de aliento, correspondiente a la acepción Kichwa samay.",preparada
1,37,2052,sawna,almohada,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “sawna”, que en español significa “almohada”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de almohada, correspondiente a la acepción Kichwa sawna.",preparada
1,38,2089,ukunyachay,anatomía,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “ukunyachay”, que en español significa “anatomía”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de anatomía, correspondiente a la acepción Kichwa ukunyachay.",preparada
1,39,1304,sipu,arruga,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “sipu”, que en español significa “arruga”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de arruga, correspondiente a la acepción Kichwa sipu.",preparada
1,40,560,kashuk,axila,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “kashuk”, que en español significa “axila”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de axila, correspondiente a la acepción Kichwa kashuk.",preparada
1,41,2248,sunka,barba,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “sunka”, que en español significa “barba”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de barba, correspondiente a la acepción Kichwa sunka.",preparada
1,42,2259,wiksa,barriga,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “wiksa”, que en español significa “barriga”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de barriga, correspondiente a la acepción Kichwa wiksa.",preparada
1,43,1210,rikra,brazo,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “rikra”, que en español significa “brazo”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de brazo, correspondiente a la acepción Kichwa rikra.",preparada
1,44,1611,uma,cabeza,Cuerpo y salud,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “uma”, que en español significa “cabeza”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de cabeza, correspondiente a la acepción Kichwa uma.",preparada
1,45,1723,wanu,abono,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “wanu”, que en español significa “abono”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de abono, correspondiente a la acepción Kichwa wanu.",preparada
1,46,1928,kunuk,abrigado,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “kunuk”, que en español significa “abrigado”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de abrigado, correspondiente a la acepción Kichwa kunuk.",preparada
1,47,1969,tika,adobe,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “tika”, que en español significa “adobe”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de adobe, correspondiente a la acepción Kichwa tika.",preparada
1,48,2006,chuya,aguado,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “chuya”, que en español significa “aguado”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de aguado, correspondiente a la acepción Kichwa chuya.",preparada
1,49,2204,wapsi,atmósfera,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “wapsi”, que en español significa “atmósfera”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de atmósfera, correspondiente a la acepción Kichwa wapsi.",preparada
1,50,2252,wayku,barranco,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “wayku”, que en español significa “barranco”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de barranco, correspondiente a la acepción Kichwa wayku.",preparada
1,51,1236,rupay,calor,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “rupay”, que en español significa “calor”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de calor, correspondiente a la acepción Kichwa rupay.",preparada
1,52,812,lluchunka,camarón,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “lluchunka”, que en español significa “camarón”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de camarón, correspondiente a la acepción Kichwa lluchunka.",preparada
1,53,2351,nina,candela,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “nina”, que en español significa “candela”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de candela, correspondiente a la acepción Kichwa nina.",preparada
1,54,615,killimsa,carbón,Naturaleza y clima,paisaje,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “killimsa”, que en español significa “carbón”. Representa el lugar o fenómeno natural con una composición sencilla. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de carbón, correspondiente a la acepción Kichwa killimsa.",preparada
1,55,1435,tani,agrio,Alimentos y bebidas,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “tani”, que en español significa “agrio”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de agrio, correspondiente a la acepción Kichwa tani.",preparada
1,56,1034,pallta,aguacate,Alimentos y bebidas,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “pallta”, que en español significa “aguacate”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de aguacate, correspondiente a la acepción Kichwa pallta.",preparada
1,57,1592,uchu,ají,Alimentos y bebidas,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “uchu”, que en español significa “ají”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de ají, correspondiente a la acepción Kichwa uchu.",preparada
1,58,387,hayak,amargo,Alimentos y bebidas,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “hayak”, que en español significa “amargo”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de amargo, correspondiente a la acepción Kichwa hayak.",preparada
1,59,2235,akumishki,azúcar,Alimentos y bebidas,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “akumishki”, que en español significa “azúcar”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de azúcar, correspondiente a la acepción Kichwa akumishki.",preparada
1,60,2267,upyana,beber,Alimentos y bebidas,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “upyana”, que en español significa “beber”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de beber, correspondiente a la acepción Kichwa upyana.",preparada
1,61,363,hapiyu,caimito,Alimentos y bebidas,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “hapiyu”, que en español significa “caimito”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de caimito, correspondiente a la acepción Kichwa hapiyu.",preparada
1,62,2332,hilli,caldo,Alimentos y bebidas,objeto,"Ilustración cuadrada infantil y educativa para la acepción Kichwa “hilli”, que en español significa “caldo”. Muestra el elemento concreto completo y fácil de reconocer. Estilo de libro ilustrado, contexto cultural respetuoso inspirado en el Ecuador andino y amazónico, fondo limpio, colores cálidos, contornos suaves, sin texto, letras, logotipos, firmas ni marcas de agua.","Representación educativa de caldo, correspondiente a la acepción Kichwa hilli.",preparada
